id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
1,Manasthapaya,මනස්තාපය,Victor Hugo,වික්ටර් හියුගෝ,Wijayarathna Dolawatta,විජයරත්න දොලවත්ත,Sinhala,French Translation,"Classic, French, Translation"
2,Hima Athara,හිම අතර,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,P.M. Jayathilaka,පී.එම්. ජයතිලක,Sinhala,French Translation,"Adventure, French, Translation"
3,Piyer Ha Shan,පියර් හා ෂාන්,Guy De Maupassant,ගයි ද මෝපසාන්,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, French, Translation"
4,Ema Bowari,එමා බෝවරි,Gustave Flaubert,ගුස්ටාව් ෆ්ලෝබෙයාර්,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,French Translation,"Classic, French, Translation"
5,Shen,ෂේන්,Jack Schaefer,ජැක් ෂෙපර්ඩ්,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,French Translation,"Western, Translation"
6,Korsikanu Sahodarayo,කෝර්සිකානු සහෝදරයෝ,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Adventure, French, Translation"
7,Montha Cristo Situwaraya 1,මොන්ත ක්‍රිස්තෝ සිටුවරයා 1,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, Adventure, French"
8,Montha Cristo Situwaraya 2,මොන්ත ක්‍රිස්තෝ සිටුවරයා 2,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, Adventure, French"
9,Montha Cristo Situwaraya 3,මොන්ත ක්‍රිස්තෝ සිටුවරයා 3,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, Adventure, French"
10,Montha Cristo Situwaraya 4,මොන්ත ක්‍රිස්තෝ සිටුවරයා 4,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, Adventure, French"
11,Montha Cristo Situwaraya 5,මොන්ත ක්‍රිස්තෝ සිටුවරයා 5,Alexander Dumas,ඇලෙක්සැන්ටර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, Adventure, French"
12,Montha Cristo Situwaraya 6,මොන්ත ක්‍රිස්තෝ සිටුවරයා 6,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Classic, Adventure, French"
13,Denuwara Kathawa,දෙනුවර කතාව,Charles Dickens,චාල්ස් ඩිකන්ස්,T.B. Ilangarathna,ටී.බී. ඉලංගරත්න,Sinhala,French Translation,"Classic, Translation"
14,Suwanda wilawun,සුවඳ විලවුන්,Patrick Süskind,පැට්රික් සුස්කයින්ඩ්,Asani Salika Ranasinghe,අසනි සාලිකා රණසිංහ,Sinhala,French Translation,"Literature, Translation"
15,Abirahas Mandiraya,අබිරහස් මන්දිරය,Unknown,නොදනී,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,"Mystery, Translation"
16,Yawes lu minisa,යවෙස් ලූ මිනිසා,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,French Translation,"Adventure, Translation"
17,Kalu Dala Mala,කළු දළ මල,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,French Translation,"Adventure, Translation"
18,Sira Kandawura,සිර කඳවුර,Vasily Bykov,වාසිල් බයිකෝව්,Sujiwa Dissanayaka,සුජීව දිසානායක,Sinhala,Russian Translation Novel,"Russian, War, Novel"
19,Sudu Ruwalak Dilei,සුදු රුවලක් දිලෙයි,Valentin Katayev,වැලන්ටීන් කතායෙව්,Menaka Priyantha Bandara,මේනක ප්‍රියන්ත බණ්ඩාර,Sinhala,Russian Translation Novel,"Russian, Classic"
20,Owun Yuda Wedune Mawbima Wenuweni,ඔවුන් යුද වැදුණේ මව්බිම වෙනුවෙනි,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,"Russian, War, Nobel Prize"
21,Welasana Koku Sarathi,වේලාසන කොකු සාරතී,Chinghiz Aitmatov,චිංගීස් අයිත්මාතව්,D.M.S. Ariyarathna,ඩී.එම්.එස්. ආරියරත්න,Sinhala,Russian Translation Novel,"Russian, Classic"
22,Peralu Newum Pasa 1,පෙරළු නැවුම් පස 1,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic"
23,Peralu Newum Pasa 2,පෙරළු නැවුම් පස 2,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic"
24,Thun Awurudda,තුන් අවුරුද්ද,Anton Chekhov,ඇන්ටන් චෙකොව්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,"Russian, Classic"
25,Wane Pannaraya Lebuheti -1,වානේ පන්නරය ලැබූ හැටි 1,Nikolai Ostrovsky,නිකොලායි ඔස්ත්‍රොව්ස්කි,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,"Russian, Classic"
26,Wane Pannaraya Lebuheti -2,වානේ පන්නරය ලැබූ හැටි 2,Nikolai Ostrovsky,නිකොලායි ඔස්ත්‍රොව්ස්කි,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,"Russian, Classic"
27,Mala Minissu,මළ මිනිස්සු,Nikolai Gogol,නිකොලායි ගොගොල්,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic"
28,Oblomov,ඔබ්ලොමොව්,Ivan Goncharov,අයිවන් ගොන්චරොව්,Ananda Amarasiri,ආනන්ද අමරසිරි,Sinhala,Russian Translation Novel,"Russian, Classic"
29,Yakada Prawahaya,යකඩ ප්‍රවාහය,Alexander Serafimovich,ඇලෙක්සැන්ඩර් සෙරාෆිමොවිච්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,"Russian, Classic"
30,Don Nadiya Nisalawa Galabasi 1,ඩොන් නදිය නිසලව ගලාබසී 1,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Mahinda Senarath Gamage,මහින්ද සෙනරත් ගමගේ,Sinhala,Russian Translation Novel,"Russian, Classic"
31,kamakata Nethi Ekekuge Jivithaya,කමකට නැති එකෙකුගේ ජීවිතය,Maxim Gorky,මැක්සිම් ගෝර්කි,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,"Russian, Classic"
32,Samuganimu Gulsari,සමුගනිමු ගුල්සාරි,Chinghiz Aitmatov,චිංගීස් අයිත්මාතව්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,"Russian, Classic"
33,Haye Wattuwa,හයේ වාට්ටුව,Anton Chekhov,ඇන්ටන් චෙකොව්,M. Sirisena,එම්. සිරිසේන,Sinhala,Russian Translation Novel,"Russian, Classic"
34,Yuddaya ha Samaya -1,යුද්ධය හා සාමය 1,Leo Tolstoy,ලියෝ ටෝල්ස්ටෝයි,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic, War"
35,Yuddaya ha Samaya -2,යුද්ධය හා සාමය 2,Leo Tolstoy,ලියෝ ටෝල්ස්ටෝයි,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic, War"
36,Yuddaya ha Samaya -3,යුද්ධය හා සාමය 3,Leo Tolstoy,ලියෝ ටෝල්ස්ටෝයි,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic, War"
37,Yuddaya ha Samaya -4,යුද්ධය හා සාමය 4,Leo Tolstoy,ලියෝ ටෝල්ස්ටෝයි,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Classic, War"
38,Tharas Sevchenko,තාරස් ෂෙව්චෙන්කෝ,Konstantin Paustovsky,කොන්ස්ටන්ටයින් පවුස්තොව්ස්කි,Rupasiri Perera,රූපසිරි පෙරේරා,Sinhala,Russian Translation Novel,"Russian, Biography"
39,Ivan,ඉවාන්,Vladimir Bogomolov,ව්ලැඩිමීර් බොගොමොලොව්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,"Russian, Classic"
40,Amma,අම්මා,Maxim Gorky,මැක්සිම් ගෝර්කි,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,"Russian, Classic"
41,Don Pedese katha,ඩොන් පෙදෙසේ කතා,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,"Russian, Short Stories"
42,Thanakola Petta,තණකොළ පෙත්තා,Oleg Tikhomirov,ඔලෙග් තිකොමිරොව්,Chathurika Jayasekara,චතුරිකා ජයසේකර,Sinhala,Russian Translation Novel,"Russian, Children"
