ID,Name,Sinhala Name,Author,Author Sinhala Name,Translator,Translator Sinhala Name,Language,Category,Tags
1394,"Api Borellen Para Penna","අපි බොරැල්ලෙන් පාර පැන්නා","Muditha Nissanka","මුදිත නිශ්ශංක","","","Sinhala","Other",""
1393,"Y","වයි","Sustiha Ruwan","සුසිත රුවන්","","","Sinhala","Science Fiction",""
1392,"Nawa Jeewanaya","නව ජීවනය","Leo Tolstoy","ලියෝ ටෝල්ස්ටෝයි","Ananda Amarasiri","ආනන්ද අමරසිරි","Sinhala","Russian Translation Novel",""
1391,"Ekama Parana Kathawak","එකම පරණ කතාවක්","Ivan Goncharov","අයිවන් ගොන්චරොව්","Karunathilaka Handunpathirana","කරුණාතිලක හඳුන්පතිරණ","Sinhala","Russian Translation Novel",""
1390,"Thidena","තිදෙනා","Maxim Gorky","맥시ම් 고리키","Chulananda Samaranayaka","චූලානන්ද සමරනායක","Sinhala","Russian Translation Novel",""
1389,"Jenie","ජෙනී","Paul Gallico","පෝල් ගැනිකෝ","Rani Senarathna Rajapaksa","රාණි සේනාරත්න රාජපක්ෂ","Sinhala","English Translation Novel",""
1388,"Piyasara Samaya","පියසර සමය","Chandrarathna Bandara","චන්ද්‍රරත්න බණ්ඩාර","","","Sinhala","Sinhala Novel",""
1387,"Kalu Usa Manussayek","කළු උස මනුස්සයෙක්","Prins Senadeera","ප්‍රින්ස් සේනාධීර","","","Sinhala","Sinhala Short Stories",""
1386,"Kolamba Mathaka","කොළඹ මතක","Kumudu Kumarasinghe","කුමුදු කුමාරසිංහ","","","Sinhala","Other",""
1385,"Mama Wuyemi Mama Wemi","මම වූයෙමි මම වෙමි","Srilani Fernando","ශ්‍රීලානි ප්‍රනාන්දු","","","Sinhala","Sinhala Novel",""
1384,"Wesi Wetena Ganga Asabada","වැසි වැටෙන ගඟ අසබඩ","","M.D. Mahindapala","M.D.Mahidapala","එම්.ඩී.මහිදපාල","Sinhala","English Translation Short Stories",""
1383,"Penerayaka Lu Malpeni","පෙනේරයක දමූ මල්පැණි","Kamala Markandaya","කමලා මාර්කන්ඩාය","Chithra Amarasekara","චිත්‍රා අමරසේකර","Sinhala","English Translation Novel",""
1382,"Narmadawe Gee Rawaya","නර්මදාවේ ගී රාවය","Gita Meheta","ගීතා මේතා","Hemantha Ranaweera","හේමන්ත රණවීර","Sinhala","English Translation Novel",""
1381,"Makara Raja Dahana","මකර රාජ දහන","Mark Shirrefs","මාර්ක් ෂිර්රෙෆ්ස්","Sudath Rohan","සුදත් රෝහණ","Sinhala","English Translation Novel",""
1380,"Polge Lokaya","පෝල්ගේ ලෝකය","Mark Shirrefs","මාර්ක් ෂිර්රෙෆ්ස්","Sudath Rohan","සුදත් රෝහණ","Sinhala","English Translation Novel",""
1379,"Riyanage Lokaya","රියානාගේ ලෝකය","Mark Shirrefs","මාර්ක් ෂිර්රෙෆ්ස්","Sudath Rohan","සුදත් රෝහණ","Sinhala","English Translation Novel",""
1378,"Patumagehi Kuda Niwahana","පටුමගෙහි කුඩා නිවහන","Melissa Wiley","මෙලිසා වයිලි","Kathyana Amarasinghe","කත්‍යානා අමරසිංහ","Sinhala","English Translation Novel",""
1377,"Weralabada Nagaraye Kuda Niwahana","වෙරළබඩ නගරයේ කුඩා නිවහන","Melissa Wiley","මෙලිසා වයිලි","Kathyana Amarasinghe","කත්‍යානා අමරසිංහ","Sinhala","English Translation Novel",""
1376,"Steve Jobs","ස්ටීව් ජොබ්ස්","Karen Blumenthal","කැරන් බ්ලූමෙන්තල්","","English","English","English Translation Novel",""
1375,"The Silmarililion","සිල්මැරිලියන්","J.R.R.Tolkein","J.R.R.Tolkein","","","English","English Translation Novel","Novel"
1374,"Nendammage Dayariya","නැන්දම්මාගේ දයරිය","Kalpana Kasthuriarachchi","කල්පනා කස්තුරිආරච්චි","","","Sinhala","Sinhala Novel",""
1373,"Husma Pawanak Wee","හුස්ම පවනක් වී","Paul Kalanithi","පෝල් කලානිති","Malini Gowinnage","මාලිනී ගෝවින්නගේ","Sinhala","English Translation Novel",""
1372,"Chamindayata Henagahala","චමින්දයාට හෙනගහලා","Tharindu Sri Lokugamage","තාරිඳු ශ්‍රී ලොකුගමගේ","","","Sinhala","Sinhala Short Stories",""
1371,"Wahalekuge Iranama","වහලෙකුගේ ඉරණම","Solomon Northup","සොලමන් නොර්තප්","Rani Senarathna Rajapaksa","රාණි සේනාරත්න රාජපක්ෂ","Sinhala","English Translation Novel",""
1370,"Kolara Kale Ale","කොලරා කාලේ ආලේ","Gabriel Garcia Marquez","ගේබ්‍රියෙල් ගාර්ෂියා මාර්කේස්","Gamini Wiyangoda","ගාමිණී වියන්ගොඩ","Sinhala","English Translation Novel",""
1369,"Kinihiraka Giniyama","කිනිහිරක ගිනියම","Suranga Niroshana Manathunga","සුරංග නිරෝෂණ මානතුංග","","","Sinhala","Sinhala Novel",""
1368,"Sangawunu Lokaya","සැඟවුණු ලෝකය","Michael Crichton","මයිකල් ක්‍රික්ටන්","Sudath Rohan","සුදත් රෝහණ","Sinhala","English Translation Novel",""
1367,"Mage Sahodari","මගේ සහෝදරි (My Sister","Oyinkan Braithwaite","Oyinkan Braithwaite","Ganga Niroshini Suduwelikanda","ගංගා නිරෝෂිණී සුදුවැලිකන්ද","Sinhala","English Translation Novel",""
1366,"Mora","මෝරා","Peter Benchly","පීටර් බෙන්ච්ලි","Chandana Mendis","චන්දන මෙන්ඩිස්","Sinhala","English Translation Novel",""
1365,"Sihinayaka Rendi Rahasak","සිහිනයක රැඳි රහස","Max Ehrlich","මැක්ස් අර්ලික්","Chandana Mendis","චන්දන මෙන්ඩිස්","Sinhala","English Translation Novel",""
1364,"Hitlerge Es Es Hamudawa","Hitlerge Es Es Hamudawa","Frederick Forsyth","ෆ්‍රෙඩ්රික් ෆෝසයිත්","Abaya Hewawasam","අභය හේවාවසම්","Sinhala","English Translation Novel","Novel"
1363,"Hiyu Hiyu Hewath Rakusa","හියු හියු හෙවත් රකුසා","","Unknown","","","Sinhala","English Translation Novel",""
1362,"Dilinjar","ඩිලින්ජර්","Jack Hinggins","ජැක් හිගින්ස්","","","Sinhala","English Translation Novel",""
1361,"Katha Gena Katha","කතා ගෙනා කතා","Bing Xin","බින් සින්","Kapila Kumara Kalinga","කපිල කුමාර කාලිංග","Sinhala","Chinese Translation",""
1360,"Cheena Pawrin Etherata","චීන පවුරෙන් එතෙරට","Lee Shun Shin","ලී ෂුන්-ෂින්","Chulananda Samaranayaka","චූලානන්ද සමරනායක","Sinhala","Chinese Translation",""
1359,"Awiyen Liyu Akuru","අවියෙන් ලියූ අකුරු","","","","","Sinhala","Sinhala Novel",""
1358,"Mathaka Gini Pupuru","මතක ගිනි පුපුරු","Gamini Muthukumarana","ගාමිණී මුතුකුමාරණ","","","Sinhala","Sinhala Novel",""
1357,"Ranasinha Premadasa","රණසිංහ ප්‍රේමදාස","R.W.Perera","ආර්.ඩබ්ලිව්. පෙරේරා","","","Sinhala","Sinhala Novel",""
1356,"Kuppayama","කුප්පායම","Rohitha Wijayakoon","රෝහිත විජේකෝන්","","","Sinhala","Sinhala Novel",""
1355,"Ehela Malata Dampatak","ඇහැළ මලට දම් පාටක්","Chathuri Damayanthi","චතුරි දමයන්ති","","","Sinhala","Sinhala Novel",""
1354,"Nottuwe Nettuwo","නෝට්ටුවේ නැට්ටුවෝ","","","","","Sinhala","Sinhala Short Stories",""
1353,"Peradeniye Istesama Tikatdena","පේරාදෙණියේ ස්ටේසම සහ ටිකට් දෙනා","Sena Thoradeniya","සේන තෝරදෙණිය","","","Sinhala","Sinhala Short Stories",""
1352,"Ahasinwata Diyabinduwak","අහසින් වැටුණු දියබින්දුවක්","Punchi Banda Munamale","පුංචි බණ්ඩා මුනමලේ","","","Sinhala","Sinhala Novel",""
1351,"Yara Yaathrika","යාරා යාත්‍රිකා","Sena Thoradeniya","සේන තෝරදෙණිය","","","Sinhala","Sinhala Novel",""
1350,"Kotiya saha Thawath Ketikatha","කොටියා සහ තවත් කෙටි කතා","P.B. Jayasekara","පී.බී. ජයසේකර","","","Sinhala","Sinhala Short Stories",""
1349,"Kemathinam Wahinna","කැමැතිනම් වහින්න","Pushpa Malani Kalubowila","පුෂ්පා මාලනී කළුබෝවිල","","","Sinhala","Sinhala Novel",""
1348,"Parikarma","පරිකර්ම","Sunethra Rajakarunanayaka","සුනේත්‍රා රාජකරුණානායක","","","Sinhala","Sinhala Novel",""
1347,"Kandureli","කඳුරැළි","Padmini Senavirathna","පද්මිණී සෙනෙවිරත්න","","","Sinhala","Sinhala Novel",""
1346,"Volga Sita Ganga Thek","වොල්ගා සිට ගංගා තෙක්","Rahul Sankruthyayana","රාහුල් සංක්‍ෘත්‍යායන","Mahinda Senarath Gamage","මහින්ද සෙනරත් ගමගේ","Sinhala","Indian Translation",""
1345,"Gramaranyaye Aganthukaya","ග්‍රාමාරණ්‍යයේ ආගන්තුකයා","O.V.Wijayan","ඕ.වී. විජයන්","Gunathilaka Metiyagane","ගුණතිලක මැටියගනේ","Sinhala","Indian Translation",""
1344,"Chokar Baali","චොකර් බාලි","Rabindranath Thagor","රබීන්ද්‍රනාත් තාගෝර්","J.P.Wanniarachchi","ජේ.පී. වන්නිආරච්චි","Sinhala","Indian Translation",""
1343,"Nikleshi","නික්ලේෂි","","Bobby G. Botheju","Bobby G Botheju","බොබි ජී.බොතේජු","Sinhala","Indian Translation",""
1342,"Seeni","සීනි","K.Chinnappa Bharathy","කේ. චින්නප්පා භාරතී","Upali Leelarathna","උපාලි ලීලාරත්න","Sinhala","Indian Translation",""
1341,"Asura Bumiya","අසුර භූමිය","Kiran Desai","කිරන් දේසායි","Swarnakanthi Rajapaksa","ස්වර්ණකාන්ති රාජපක්ෂ","Sinhala","Indian Translation",""
1340,"Duwpan Kollo Duwapan","Duwpan Kollo Duwapan","Uri Orlev","යූරි ඔර්ලෙව්","Chithra Amarasekara","චිත්‍රා අමරසේකර","Sinhala","English Translation Novel","Novel"
1339,"Mandagamiya","මන්දගාමියා","J.M.Coetzee","ජේ.එම්. කොයිට්සි","Wimaladasa Samarasinghe","විමලදාස සමරසිංහ","Sinhala","English Translation Novel",""
