"id","name","Sinhala Name","author","translator","language","categoery"
"1","Manasthapaya","මනස්ථාපය","Victor Hugo","Wijayarathna Dolawatta","Sinhala","French Translation"
"2","Hima Athara","","Alexander Dumas","P.M.Jayathilaka","Sinhala","French Translation"
"3","Piyer Ha Shan","පියෙර් හා ෂෑ","Guy de Maupassant","K.G.Karunathilaka","Sinhala","French Translation"
"4","Ema Bowari","","Gustaw Flaubert","Cyril C Perera","Sinhala","French Translation"
"5","Shen","","Jack Sheper","Cyril C Perera","Sinhala","French Translation"
"6","Korsikanu Sahodarayo","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"7","Montha Cristo Situwaraya 1","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"8","Montha Cristo Situwaraya 2","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"9","Montha Cristo Situwaraya 3","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"10","Montha Cristo Situwaraya 4","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"11","Montha Cristo Situwaraya 5","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"12","Montha Cristo Situwaraya 6","","Alexander Dumas","K.G.Karunathilaka","Sinhala","French Translation"
"13","Denuwara Kathawa","","Charles Dickens","T.B.Ilangarathna","Sinhala","French Translation"
"14","Suwanda wilawun","","Patrick Suskind","Asani salika Ranasinghe","Sinhala","French Translation"
"15","Abirahas Mandiraya","","","K.G.Karunathilaka","Sinhala","French Translation"
"16","Yawes lu minisa","","Alexandar Dumas","kumara Siriwardhana","Sinhala","French Translation"
"17","Kalu Dala Mala","","Alexander Dumas","Kumara Siriwardana","Sinhala","French Translation"
"18","Sira Kandawura","","Wasil Baikoach","Sujiwa Disanayaka","Sinhala","Russian Translation Novel"
"19","Sudu Ruwalak Dilei","","Valentin Katayev","Menak Priyantha Bandara","Sinhala","Russian Translation Novel"
"20","Owun Yuda Wedune Mawbima Wenuweni","","Mikhail Sholokhov","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"21","Welasana Koku Sarathi","","Chinghiz Aitmatow","D.M.S.Ariyarathna","Sinhala","Russian Translation Novel"
"22","Peralu Newum Pasa 1","","Mikhail Sholokhov","Cyril C Perera","Sinhala","Russian Translation Novel"
"23","Peralu Newum Pasa 2","","Mikhail Sholokhov","Cyril C Perera","Sinhala","Russian Translation Novel"
"24","Thun Awurudda","","Anton Chekhov","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"25","Wane Pannaraya Lebuheti -1","","Nikolai Ostrovsky","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"26","Wane Pannaraya Lebuheti -2","","Nikolai Ostrovsky","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"27","Mala Minissu","මළ මිනිස්සු","Nikolai Gogol","Cyril C Perera","Sinhala","Russian Translation Novel"
"28","Oblomov","","Ivan Goncharov","Ananda Amarasiri","Sinhala","Russian Translation Novel"
"29","Yakada Prawahaya","","Alexander Serapimovich","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"30","Don Nadiya Nisalawa Galabasi 1","","Mikhail Sholokhov","Mahinda Senarath Gamage","Sinhala","Russian Translation Novel"
"31","kamakata Nethi Ekekuge Jivithaya","","Maxim Gorki","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"32","Samuganimu Gulsari","","Chinghiz Aitmatow","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"33","Haye Wattuwa","","Anton Chekhov","M.Sirisena","Sinhala","Russian Translation Novel"
"34","Yuddaya ha Samaya -1","යුද්ධය හා සාමය - 1","Leo Tolstoy","Cyril C Perera","Sinhala","Russian Translation Novel"
"35","Yuddaya ha Samaya -2","යුද්ධය හා සාමය - 2","Leo Tolstoy","Cyril C Perera","Sinhala","Russian Translation Novel"
"36","Yuddaya ha Samaya -3","යුද්ධය හා සාමය - 3","Leo Tolstoy","Cyril C Perera","Sinhala","Russian Translation Novel"
"37","Yuddaya ha Samaya -4","යුද්ධය හා සාමය - 4","Leo Tolstoy","Cyril C Perera","Sinhala","Russian Translation Novel"
"38","Tharas Sevchenko","","Konstantin Paustovsky","Rupasiri Perea","Sinhala","Russian Translation Novel"
"39","Ivan","","Wledimir Bogomolov","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"40","Amma","","Maxim Gorki","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"41","Don Pedese katha","","Mikhail Sholokhov","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"42","Thanakola Petta","","Oleg Thikomirov","Chathurika Jayasekara","Sinhala","Russian Translation Novel"
"43","Anda Wadakaya","","V.Karalenko","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"44","Divara Githaya","","Chinghiz Aitmatow","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"45","Rathu Ruwal","","Alexander Grean","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"46","Maranayata Nudurin","","Alexander Solzhenitsyn","A. Dayananda Silva","Sinhala","Russian Translation Novel"
"47","Guru Geethaya","","Chinghiz Aitmatow","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"48","Sudu Newa","","Chinghiz Aitmatow","Chulananda Samaranayaka","Sinhala","Russian Translation Novel"
"49","Nethiwunu Wasthuwa","","Chinghiz Aitmatow","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"50","Utthama Alayaka Kathawak","","Alexendra Kolonthai","Chulananda samaranayaka","Sinhala","Russian Translation Novel"
"51","Soviet Rusian Keti Katha","","","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"52","Belkinge katha","","Alexander Pushkin","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"53","Jiwathwime Ashawa","","Washily Shukshin","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"54","Ape Kalaye Weerayek","","Mikhail Lermanthev","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"55","Thoragath Keti Nawakatha","","Ivan Thurgenev","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"56","Keti Nawa Katha","","Chinghiz Aitmatow","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"57","Minisage samathkam","","","Piyasena Manilgama","Sinhala","Russian Translation Novel"
"58","Bimgei Sirakaruwa","","","K.G.Karunathilaka","Sinhala","Russian Translation Novel"
"59","Tibbatha Asramayaka Ingrisi Biksuwa","","Lobsang Jivaka","Abaya Hewawasam","Sinhala","Tibet Translation"
"60","Tibet Rate Sathwasak","","Heinrich herror","M.H.Gunathilaka","Sinhala","Tibet Translation"
"61","Thewana Esa","","T. Lobsang Rampa","S.A.Jayasirimin Subasinghe","Sinhala","Tibet Translation"
"62","Rampa ge kathawa","","T. lobsang","kumara Siriwardhana","Sinhala","Tibet Translation"
"63","Himabima","","Yasunari Kawabata","Jayantha Wimalasena","Sinhala","Japan Translation"
"64","Japan Sen Katha","","","Chandima Wijebandara","Sinhala","Japan Translation"
"65","Me mage paradeesayayi","","Hyok Kang - Phillippe Grengarow","Nimal Somarathna","Sinhala","N.korea Translation"
"66","Niraya","","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"67","Da Vinchi Kethaya","","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"68","Sengawunu Sankethaya","","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"69","Sambhawaya","","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
